Model,Percentage,Common Features Count,Common Features
flaubert_base_uncased,20,184,"Dim 347, Dim 585, Dim 119, Dim 649, Dim 389, Dim 132, Dim 685, Dim 346, Dim 241, Dim 68, Dim 147, Dim 108, Dim 293, Dim 482, Dim 384, Dim 506, Dim 484, Dim 662, Dim 687, Dim 681, Dim 167, Dim 437, Dim 381, Dim 595, Dim 529, Dim 48, Dim 513, Dim 751, Dim 725, Dim 694, Dim 209, Dim 21, Dim 564, Dim 424, Dim 112, Dim 516, Dim 668, Dim 765, Dim 537, Dim 382, Dim 82, Dim 446, Dim 524, Dim 735, Dim 159, Dim 717, Dim 407, Dim 335, Dim 86, Dim 118, Dim 171, Dim 338, Dim 680, Dim 476, Dim 375, Dim 19, Dim 376, Dim 39, Dim 761, Dim 514, Dim 127, Dim 13, Dim 453, Dim 499, Dim 644, Dim 752, Dim 243, Dim 27, Dim 184, Dim 387, Dim 502, Dim 561, Dim 51, Dim 573, Dim 140, Dim 580, Dim 678, Dim 726, Dim 77, Dim 495, Dim 164, Dim 17, Dim 54, Dim 596, Dim 161, Dim 507, Dim 69, Dim 214, Dim 664, Dim 2, Dim 148, Dim 683, Dim 67, Dim 408, Dim 736, Dim 740, Dim 617, Dim 423, Dim 479, Dim 739, Dim 706, Dim 598, Dim 329, Dim 628, Dim 722, Dim 317, Dim 380, Dim 557, Dim 616, Dim 211, Dim 121, Dim 66, Dim 102, Dim 76, Dim 404, Dim 256, Dim 343, Dim 587, Dim 52, Dim 361, Dim 737, Dim 110, Dim 125, Dim 565, Dim 128, Dim 666, Dim 221, Dim 223, Dim 198, Dim 210, Dim 168, Dim 588, Dim 713, Dim 201, Dim 280, Dim 44, Dim 90, Dim 6, Dim 653, Dim 677, Dim 551, Dim 53, Dim 568, Dim 193, Dim 374, Dim 744, Dim 242, Dim 116, Dim 150, Dim 156, Dim 491, Dim 422, Dim 731, Dim 219, Dim 139, Dim 420, Dim 618, Dim 41, Dim 621, Dim 309, Dim 191, Dim 391, Dim 166, Dim 490, Dim 614, Dim 151, Dim 218, Dim 498, Dim 130, Dim 715, Dim 96, Dim 412, Dim 336, Dim 650, Dim 532, Dim 396, Dim 674, Dim 300, Dim 626, Dim 328, Dim 292, Dim 543, Dim 630, Dim 270"
flaubert_base_uncased,30,281,"Dim 418, Dim 347, Dim 436, Dim 585, Dim 119, Dim 649, Dim 389, Dim 143, Dim 132, Dim 685, Dim 346, Dim 755, Dim 241, Dim 147, Dim 108, Dim 698, Dim 293, Dim 68, Dim 384, Dim 506, Dim 482, Dim 484, Dim 662, Dim 133, Dim 750, Dim 716, Dim 298, Dim 520, Dim 576, Dim 463, Dim 687, Dim 681, Dim 233, Dim 257, Dim 372, Dim 167, Dim 117, Dim 437, Dim 522, Dim 381, Dim 302, Dim 199, Dim 595, Dim 529, Dim 48, Dim 694, Dim 725, Dim 751, Dim 513, Dim 209, Dim 377, Dim 21, Dim 564, Dim 438, Dim 340, Dim 112, Dim 424, Dim 516, Dim 668, Dim 765, Dim 537, Dim 382, Dim 446, Dim 82, Dim 524, Dim 735, Dim 717, Dim 407, Dim 759, Dim 665, Dim 335, Dim 159, Dim 87, Dim 86, Dim 118, Dim 171, Dim 338, Dim 65, Dim 680, Dim 182, Dim 58, Dim 476, Dim 40, Dim 589, Dim 400, Dim 310, Dim 19, Dim 376, Dim 39, Dim 761, Dim 149, Dim 514, Dim 321, Dim 127, Dim 13, Dim 453, Dim 499, Dim 644, Dim 752, Dim 243, Dim 27, Dim 600, Dim 351, Dim 502, Dim 184, Dim 387, Dim 373, Dim 208, Dim 577, Dim 561, Dim 573, Dim 51, Dim 140, Dim 580, Dim 206, Dim 202, Dim 11, Dim 678, Dim 726, Dim 489, Dim 77, Dim 353, Dim 495, Dim 164, Dim 17, Dim 54, Dim 224, Dim 485, Dim 766, Dim 596, Dim 161, Dim 245, Dim 507, Dim 394, Dim 69, Dim 214, Dim 276, Dim 664, Dim 2, Dim 3, Dim 325, Dim 315, Dim 464, Dim 683, Dim 148, Dim 16, Dim 767, Dim 67, Dim 348, Dim 408, Dim 85, Dim 736, Dim 152, Dim 740, Dim 617, Dim 0, Dim 748, Dim 423, Dim 479, Dim 475, Dim 739, Dim 706, Dim 539, Dim 277, Dim 598, Dim 329, Dim 177, Dim 628, Dim 722, Dim 317, Dim 227, Dim 557, Dim 380, Dim 4, Dim 616, Dim 292, Dim 121, Dim 211, Dim 66, Dim 102, Dim 76, Dim 404, Dim 256, Dim 343, Dim 587, Dim 45, Dim 52, Dim 361, Dim 538, Dim 125, Dim 110, Dim 666, Dim 565, Dim 128, Dim 663, Dim 221, Dim 737, Dim 447, Dim 198, Dim 223, Dim 210, Dim 168, Dim 588, Dim 713, Dim 473, Dim 201, Dim 280, Dim 622, Dim 44, Dim 90, Dim 383, Dim 6, Dim 653, Dim 677, Dim 551, Dim 53, Dim 492, Dim 358, Dim 216, Dim 568, Dim 193, Dim 374, Dim 528, Dim 744, Dim 344, Dim 242, Dim 264, Dim 708, Dim 363, Dim 78, Dim 116, Dim 487, Dim 150, Dim 156, Dim 491, Dim 422, Dim 731, Dim 219, Dim 535, Dim 449, Dim 296, Dim 618, Dim 139, Dim 41, Dim 420, Dim 621, Dim 661, Dim 309, Dim 191, Dim 391, Dim 490, Dim 166, Dim 614, Dim 151, Dim 218, Dim 498, Dim 96, Dim 715, Dim 547, Dim 130, Dim 432, Dim 732, Dim 412, Dim 282, Dim 336, Dim 650, Dim 262, Dim 532, Dim 563, Dim 396, Dim 674, Dim 300, Dim 626, Dim 700, Dim 375, Dim 543, Dim 328, Dim 630, Dim 240, Dim 270, Dim 185"
flaubert_large_uncased,10,84,"Dim 196, Dim 993, Dim 346, Dim 793, Dim 120, Dim 902, Dim 142, Dim 637, Dim 257, Dim 92, Dim 413, Dim 605, Dim 727, Dim 725, Dim 209, Dim 354, Dim 165, Dim 330, Dim 560, Dim 759, Dim 919, Dim 1022, Dim 809, Dim 71, Dim 442, Dim 285, Dim 762, Dim 81, Dim 671, Dim 109, Dim 146, Dim 934, Dim 752, Dim 27, Dim 728, Dim 561, Dim 481, Dim 844, Dim 873, Dim 507, Dim 34, Dim 271, Dim 879, Dim 148, Dim 406, Dim 67, Dim 999, Dim 829, Dim 729, Dim 593, Dim 654, Dim 177, Dim 178, Dim 66, Dim 967, Dim 80, Dim 260, Dim 169, Dim 601, Dim 326, Dim 89, Dim 374, Dim 824, Dim 56, Dim 186, Dim 10, Dim 46, Dim 840, Dim 864, Dim 422, Dim 862, Dim 875, Dim 897, Dim 994, Dim 618, Dim 921, Dim 151, Dim 230, Dim 922, Dim 975, Dim 262, Dim 771, Dim 929, Dim 129"
flaubert_large_uncased,20,179,"Dim 582, Dim 196, Dim 134, Dim 651, Dim 993, Dim 346, Dim 789, Dim 793, Dim 108, Dim 860, Dim 120, Dim 902, Dim 142, Dim 352, Dim 773, Dim 548, Dim 637, Dim 691, Dim 257, Dim 92, Dim 413, Dim 605, Dim 5, Dim 727, Dim 640, Dim 160, Dim 529, Dim 7, Dim 725, Dim 209, Dim 505, Dim 354, Dim 953, Dim 165, Dim 330, Dim 905, Dim 261, Dim 75, Dim 705, Dim 668, Dim 428, Dim 560, Dim 711, Dim 759, Dim 919, Dim 312, Dim 1022, Dim 611, Dim 632, Dim 809, Dim 71, Dim 442, Dim 285, Dim 762, Dim 974, Dim 19, Dim 81, Dim 566, Dim 376, Dim 452, Dim 671, Dim 127, Dim 311, Dim 109, Dim 146, Dim 934, Dim 752, Dim 27, Dim 728, Dim 960, Dim 577, Dim 561, Dim 467, Dim 676, Dim 678, Dim 481, Dim 844, Dim 774, Dim 224, Dim 945, Dim 161, Dim 873, Dim 507, Dim 903, Dim 34, Dim 271, Dim 633, Dim 879, Dim 982, Dim 148, Dim 406, Dim 67, Dim 999, Dim 829, Dim 729, Dim 757, Dim 42, Dim 785, Dim 907, Dim 593, Dim 654, Dim 917, Dim 177, Dim 1006, Dim 722, Dim 380, Dim 966, Dim 178, Dim 121, Dim 189, Dim 66, Dim 967, Dim 385, Dim 80, Dim 260, Dim 145, Dim 641, Dim 724, Dim 538, Dim 666, Dim 663, Dim 431, Dim 169, Dim 221, Dim 447, Dim 586, Dim 556, Dim 601, Dim 800, Dim 822, Dim 326, Dim 89, Dim 885, Dim 374, Dim 344, Dim 188, Dim 111, Dim 824, Dim 56, Dim 186, Dim 363, Dim 10, Dim 46, Dim 812, Dim 1008, Dim 840, Dim 864, Dim 422, Dim 535, Dim 723, Dim 390, Dim 862, Dim 994, Dim 618, Dim 875, Dim 921, Dim 897, Dim 41, Dim 139, Dim 980, Dim 207, Dim 553, Dim 490, Dim 604, Dim 391, Dim 151, Dim 230, Dim 517, Dim 922, Dim 975, Dim 660, Dim 96, Dim 855, Dim 262, Dim 771, Dim 929, Dim 300, Dim 941, Dim 129"
flaubert_large_uncased,30,279,"Dim 239, Dim 938, Dim 582, Dim 196, Dim 1010, Dim 996, Dim 132, Dim 134, Dim 651, Dim 993, Dim 368, Dim 789, Dim 346, Dim 793, Dim 108, Dim 951, Dim 74, Dim 229, Dim 231, Dim 860, Dim 120, Dim 155, Dim 142, Dim 902, Dim 15, Dim 352, Dim 773, Dim 961, Dim 548, Dim 932, Dim 927, Dim 637, Dim 233, Dim 691, Dim 257, Dim 92, Dim 413, Dim 605, Dim 5, Dim 303, Dim 823, Dim 727, Dim 640, Dim 160, Dim 7, Dim 529, Dim 817, Dim 725, Dim 209, Dim 505, Dim 354, Dim 905, Dim 261, Dim 330, Dim 953, Dim 165, Dim 778, Dim 21, Dim 75, Dim 705, Dim 668, Dim 428, Dim 915, Dim 560, Dim 918, Dim 837, Dim 711, Dim 759, Dim 335, Dim 919, Dim 312, Dim 941, Dim 1022, Dim 611, Dim 1012, Dim 632, Dim 809, Dim 994, Dim 71, Dim 442, Dim 285, Dim 762, Dim 749, Dim 974, Dim 281, Dim 401, Dim 19, Dim 81, Dim 566, Dim 376, Dim 39, Dim 667, Dim 782, Dim 452, Dim 295, Dim 671, Dim 127, Dim 311, Dim 109, Dim 530, Dim 836, Dim 146, Dim 934, Dim 752, Dim 27, Dim 292, Dim 784, Dim 960, Dim 728, Dim 208, Dim 467, Dim 577, Dim 561, Dim 931, Dim 676, Dim 139, Dim 678, Dim 481, Dim 844, Dim 353, Dim 774, Dim 55, Dim 224, Dim 596, Dim 409, Dim 567, Dim 161, Dim 873, Dim 945, Dim 507, Dim 903, Dim 34, Dim 214, Dim 276, Dim 746, Dim 271, Dim 323, Dim 633, Dim 879, Dim 982, Dim 635, Dim 148, Dim 406, Dim 67, Dim 999, Dim 341, Dim 829, Dim 757, Dim 729, Dim 42, Dim 785, Dim 828, Dim 907, Dim 654, Dim 958, Dim 593, Dim 917, Dim 739, Dim 177, Dim 254, Dim 1006, Dim 722, Dim 380, Dim 966, Dim 1015, Dim 178, Dim 887, Dim 121, Dim 189, Dim 66, Dim 967, Dim 769, Dim 385, Dim 80, Dim 260, Dim 525, Dim 145, Dim 641, Dim 256, Dim 606, Dim 343, Dim 724, Dim 538, Dim 666, Dim 663, Dim 648, Dim 169, Dim 221, Dim 431, Dim 447, Dim 461, Dim 210, Dim 168, Dim 586, Dim 989, Dim 473, Dim 796, Dim 675, Dim 843, Dim 1011, Dim 1007, Dim 556, Dim 653, Dim 656, Dim 98, Dim 238, Dim 541, Dim 581, Dim 601, Dim 800, Dim 822, Dim 971, Dim 326, Dim 540, Dim 89, Dim 885, Dim 374, Dim 344, Dim 744, Dim 188, Dim 111, Dim 824, Dim 430, Dim 56, Dim 186, Dim 363, Dim 10, Dim 46, Dim 792, Dim 812, Dim 621, Dim 1008, Dim 840, Dim 864, Dim 422, Dim 933, Dim 535, Dim 449, Dim 723, Dim 390, Dim 921, Dim 618, Dim 897, Dim 41, Dim 875, Dim 981, Dim 862, Dim 488, Dim 207, Dim 191, Dim 853, Dim 553, Dim 490, Dim 604, Dim 391, Dim 151, Dim 230, Dim 517, Dim 922, Dim 975, Dim 498, Dim 96, Dim 660, Dim 855, Dim 350, Dim 980, Dim 732, Dim 262, Dim 771, Dim 300, Dim 929, Dim 949, Dim 59, Dim 935, Dim 375, Dim 417, Dim 133, Dim 129, Dim 270"
flaubert_small_cased,10,89,"Dim 192, Dim 181, Dim 132, Dim 346, Dim 480, Dim 272, Dim 265, Dim 332, Dim 5, Dim 434, Dim 199, Dim 7, Dim 114, Dim 209, Dim 165, Dim 261, Dim 377, Dim 228, Dim 428, Dim 421, Dim 335, Dim 61, Dim 310, Dim 345, Dim 81, Dim 388, Dim 453, Dim 51, Dim 153, Dim 206, Dim 11, Dim 251, Dim 481, Dim 162, Dim 187, Dim 55, Dim 54, Dim 99, Dim 460, Dim 214, Dim 325, Dim 348, Dim 42, Dim 423, Dim 355, Dim 195, Dim 443, Dim 329, Dim 177, Dim 269, Dim 211, Dim 102, Dim 220, Dim 360, Dim 399, Dim 289, Dim 461, Dim 198, Dim 306, Dim 100, Dim 468, Dim 473, Dim 383, Dim 359, Dim 314, Dim 36, Dim 89, Dim 8, Dim 103, Dim 344, Dim 64, Dim 250, Dim 56, Dim 268, Dim 186, Dim 116, Dim 205, Dim 459, Dim 390, Dim 420, Dim 488, Dim 458, Dim 391, Dim 151, Dim 432, Dim 350, Dim 282, Dim 300, Dim 357"
flaubert_small_cased,20,186,"Dim 239, Dim 192, Dim 181, Dim 132, Dim 444, Dim 346, Dim 293, Dim 147, Dim 237, Dim 480, Dim 482, Dim 74, Dim 231, Dim 142, Dim 272, Dim 265, Dim 470, Dim 308, Dim 332, Dim 60, Dim 273, Dim 117, Dim 5, Dim 434, Dim 199, Dim 160, Dim 7, Dim 114, Dim 176, Dim 316, Dim 209, Dim 505, Dim 165, Dim 261, Dim 377, Dim 320, Dim 126, Dim 228, Dim 21, Dim 112, Dim 428, Dim 115, Dim 382, Dim 421, Dim 445, Dim 335, Dim 342, Dim 61, Dim 182, Dim 400, Dim 310, Dim 345, Dim 281, Dim 123, Dim 19, Dim 81, Dim 388, Dim 376, Dim 149, Dim 397, Dim 321, Dim 255, Dim 253, Dim 453, Dim 349, Dim 141, Dim 387, Dim 471, Dim 51, Dim 153, Dim 140, Dim 206, Dim 11, Dim 251, Dim 481, Dim 162, Dim 187, Dim 55, Dim 224, Dim 54, Dim 327, Dim 79, Dim 409, Dim 72, Dim 161, Dim 245, Dim 99, Dim 454, Dim 460, Dim 214, Dim 279, Dim 2, Dim 325, Dim 315, Dim 348, Dim 341, Dim 42, Dim 423, Dim 355, Dim 28, Dim 195, Dim 277, Dim 443, Dim 329, Dim 177, Dim 414, Dim 269, Dim 211, Dim 102, Dim 35, Dim 121, Dim 66, Dim 76, Dim 385, Dim 260, Dim 220, Dim 360, Dim 370, Dim 256, Dim 399, Dim 289, Dim 45, Dim 110, Dim 128, Dim 175, Dim 431, Dim 447, Dim 198, Dim 461, Dim 210, Dim 168, Dim 306, Dim 100, Dim 468, Dim 473, Dim 383, Dim 90, Dim 359, Dim 314, Dim 36, Dim 62, Dim 89, Dim 8, Dim 103, Dim 344, Dim 64, Dim 158, Dim 157, Dim 313, Dim 250, Dim 56, Dim 268, Dim 186, Dim 430, Dim 57, Dim 116, Dim 150, Dim 422, Dim 205, Dim 459, Dim 390, Dim 286, Dim 63, Dim 420, Dim 215, Dim 488, Dim 458, Dim 309, Dim 391, Dim 275, Dim 151, Dim 230, Dim 432, Dim 130, Dim 96, Dim 350, Dim 412, Dim 282, Dim 217, Dim 331, Dim 262, Dim 170, Dim 300, Dim 357, Dim 375, Dim 185"
flaubert_small_cased,30,296,"Dim 239, Dim 418, Dim 441, Dim 192, Dim 389, Dim 181, Dim 132, Dim 444, Dim 346, Dim 293, Dim 147, Dim 237, Dim 480, Dim 482, Dim 229, Dim 74, Dim 506, Dim 231, Dim 120, Dim 155, Dim 50, Dim 104, Dim 142, Dim 272, Dim 212, Dim 294, Dim 451, Dim 265, Dim 463, Dim 470, Dim 308, Dim 332, Dim 60, Dim 233, Dim 273, Dim 163, Dim 117, Dim 5, Dim 434, Dim 333, Dim 381, Dim 9, Dim 199, Dim 160, Dim 7, Dim 114, Dim 176, Dim 316, Dim 320, Dim 209, Dim 354, Dim 377, Dim 261, Dim 165, Dim 138, Dim 228, Dim 126, Dim 112, Dim 21, Dim 197, Dim 23, Dim 428, Dim 115, Dim 122, Dim 382, Dim 446, Dim 301, Dim 407, Dim 445, Dim 421, Dim 335, Dim 342, Dim 61, Dim 118, Dim 135, Dim 200, Dim 225, Dim 182, Dim 58, Dim 469, Dim 73, Dim 40, Dim 442, Dim 476, Dim 285, Dim 400, Dim 310, Dim 345, Dim 123, Dim 281, Dim 19, Dim 81, Dim 388, Dim 190, Dim 376, Dim 39, Dim 397, Dim 149, Dim 307, Dim 321, Dim 255, Dim 253, Dim 311, Dim 453, Dim 499, Dim 136, Dim 349, Dim 141, Dim 292, Dim 502, Dim 387, Dim 373, Dim 208, Dim 471, Dim 51, Dim 235, Dim 153, Dim 140, Dim 12, Dim 206, Dim 202, Dim 180, Dim 11, Dim 234, Dim 251, Dim 162, Dim 353, Dim 164, Dim 187, Dim 481, Dim 55, Dim 17, Dim 54, Dim 224, Dim 327, Dim 79, Dim 101, Dim 297, Dim 409, Dim 161, Dim 72, Dim 245, Dim 393, Dim 99, Dim 279, Dim 214, Dim 460, Dim 276, Dim 69, Dim 454, Dim 2, Dim 3, Dim 505, Dim 271, Dim 315, Dim 325, Dim 464, Dim 183, Dim 406, Dim 348, Dim 341, Dim 67, Dim 85, Dim 278, Dim 42, Dim 423, Dim 403, Dim 355, Dim 248, Dim 28, Dim 195, Dim 277, Dim 443, Dim 329, Dim 177, Dim 414, Dim 227, Dim 402, Dim 4, Dim 121, Dim 35, Dim 66, Dim 269, Dim 211, Dim 102, Dim 76, Dim 385, Dim 80, Dim 260, Dim 220, Dim 322, Dim 360, Dim 256, Dim 145, Dim 399, Dim 370, Dim 289, Dim 45, Dim 52, Dim 203, Dim 343, Dim 110, Dim 128, Dim 175, Dim 483, Dim 431, Dim 493, Dim 447, Dim 198, Dim 461, Dim 210, Dim 168, Dim 306, Dim 100, Dim 47, Dim 473, Dim 468, Dim 366, Dim 44, Dim 383, Dim 90, Dim 405, Dim 98, Dim 238, Dim 53, Dim 492, Dim 359, Dim 216, Dim 358, Dim 36, Dim 378, Dim 314, Dim 62, Dim 89, Dim 8, Dim 103, Dim 344, Dim 64, Dim 158, Dim 157, Dim 313, Dim 111, Dim 250, Dim 430, Dim 268, Dim 56, Dim 186, Dim 93, Dim 185, Dim 57, Dim 116, Dim 334, Dim 150, Dim 422, Dim 504, Dim 205, Dim 174, Dim 459, Dim 286, Dim 296, Dim 63, Dim 390, Dim 215, Dim 420, Dim 488, Dim 309, Dim 458, Dim 391, Dim 275, Dim 91, Dim 151, Dim 230, Dim 498, Dim 96, Dim 130, Dim 432, Dim 350, Dim 412, Dim 263, Dim 497, Dim 331, Dim 282, Dim 386, Dim 336, Dim 170, Dim 262, Dim 217, Dim 300, Dim 396, Dim 240, Dim 357, Dim 375, Dim 328, Dim 448, Dim 486, Dim 379"
mbert_base_cased,10,13,"Dim 741, Dim 737, Dim 750, Dim 663, Dim 762, Dim 644, Dim 651, Dim 720, Dim 672, Dim 692, Dim 758, Dim 687, Dim 680"
mbert_base_cased,20,56,"Dim 526, Dim 639, Dim 711, Dim 677, Dim 651, Dim 568, Dim 611, Dim 521, Dim 712, Dim 528, Dim 680, Dim 662, Dim 569, Dim 736, Dim 750, Dim 729, Dim 762, Dim 555, Dim 670, Dim 520, Dim 669, Dim 758, Dim 559, Dim 515, Dim 687, Dim 731, Dim 741, Dim 707, Dim 658, Dim 534, Dim 720, Dim 644, Dim 672, Dim 570, Dim 692, Dim 728, Dim 614, Dim 544, Dim 660, Dim 702, Dim 547, Dim 714, Dim 725, Dim 719, Dim 737, Dim 663, Dim 565, Dim 742, Dim 563, Dim 571, Dim 674, Dim 700, Dim 537, Dim 764, Dim 675, Dim 612"
mbert_base_cased,30,105,"Dim 526, Dim 639, Dim 651, Dim 599, Dim 698, Dim 610, Dim 521, Dim 662, Dim 569, Dim 750, Dim 701, Dim 520, Dim 576, Dim 687, Dim 597, Dim 515, Dim 741, Dim 605, Dim 607, Dim 672, Dim 595, Dim 531, Dim 725, Dim 564, Dim 705, Dim 527, Dim 537, Dim 591, Dim 711, Dim 665, Dim 611, Dim 632, Dim 712, Dim 680, Dim 589, Dim 762, Dim 559, Dim 671, Dim 590, Dim 534, Dim 644, Dim 752, Dim 600, Dim 728, Dim 544, Dim 714, Dim 580, Dim 608, Dim 612, Dim 596, Dim 652, Dim 659, Dim 683, Dim 736, Dim 729, Dim 555, Dim 748, Dim 579, Dim 594, Dim 758, Dim 692, Dim 606, Dim 719, Dim 666, Dim 737, Dim 565, Dim 648, Dim 742, Dim 536, Dim 642, Dim 663, Dim 571, Dim 586, Dim 675, Dim 656, Dim 677, Dim 581, Dim 601, Dim 568, Dim 528, Dim 670, Dim 669, Dim 731, Dim 707, Dim 723, Dim 658, Dim 618, Dim 720, Dim 619, Dim 621, Dim 570, Dim 553, Dim 604, Dim 614, Dim 660, Dim 702, Dim 547, Dim 730, Dim 563, Dim 674, Dim 700, Dim 543, Dim 613, Dim 764, Dim 549"
mbert_base_uncased,10,61,"Dim 421, Dim 119, Dim 545, Dim 181, Dim 105, Dim 508, Dim 90, Dim 482, Dim 635, Dim 374, Dim 683, Dim 584, Dim 406, Dim 16, Dim 264, Dim 56, Dim 278, Dim 555, Dim 290, Dim 451, Dim 310, Dim 137, Dim 593, Dim 475, Dim 195, Dim 628, Dim 332, Dim 174, Dim 163, Dim 453, Dim 92, Dim 644, Dim 269, Dim 35, Dim 349, Dim 747, Dim 66, Dim 754, Dim 333, Dim 184, Dim 91, Dim 222, Dim 287, Dim 623, Dim 235, Dim 513, Dim 206, Dim 125, Dim 84, Dim 128, Dim 169, Dim 262, Dim 106, Dim 234, Dim 629, Dim 516, Dim 765, Dim 485, Dim 129, Dim 270, Dim 603"
mbert_base_uncased,20,155,"Dim 646, Dim 585, Dim 436, Dim 119, Dim 545, Dim 389, Dim 181, Dim 592, Dim 755, Dim 482, Dim 120, Dim 155, Dim 584, Dim 750, Dim 451, Dim 576, Dim 673, Dim 332, Dim 691, Dim 257, Dim 163, Dim 92, Dim 258, Dim 747, Dim 754, Dim 333, Dim 199, Dim 160, Dim 623, Dim 531, Dim 602, Dim 48, Dim 513, Dim 629, Dim 516, Dim 765, Dim 122, Dim 421, Dim 760, Dim 632, Dim 680, Dim 762, Dim 310, Dim 733, Dim 392, Dim 566, Dim 667, Dim 453, Dim 644, Dim 364, Dim 474, Dim 349, Dim 184, Dim 544, Dim 467, Dim 49, Dim 235, Dim 206, Dim 106, Dim 234, Dim 77, Dim 485, Dim 603, Dim 72, Dim 249, Dim 276, Dim 572, Dim 213, Dim 635, Dim 682, Dim 148, Dim 683, Dim 406, Dim 16, Dim 408, Dim 278, Dim 555, Dim 290, Dim 748, Dim 729, Dim 423, Dim 137, Dim 593, Dim 475, Dim 594, Dim 654, Dim 195, Dim 631, Dim 329, Dim 177, Dim 628, Dim 269, Dim 35, Dim 66, Dim 121, Dim 427, Dim 94, Dim 260, Dim 695, Dim 220, Dim 641, Dim 256, Dim 546, Dim 287, Dim 587, Dim 125, Dim 173, Dim 84, Dim 128, Dim 175, Dim 169, Dim 536, Dim 493, Dim 461, Dim 356, Dim 642, Dim 210, Dim 47, Dim 90, Dim 105, Dim 541, Dim 508, Dim 89, Dim 374, Dim 494, Dim 188, Dim 264, Dim 56, Dim 410, Dim 634, Dim 78, Dim 116, Dim 150, Dim 174, Dim 720, Dim 661, Dim 207, Dim 191, Dim 614, Dim 91, Dim 517, Dim 222, Dim 432, Dim 702, Dim 732, Dim 575, Dim 282, Dim 262, Dim 170, Dim 300, Dim 328, Dim 375, Dim 357, Dim 129, Dim 270"
mbert_base_uncased,30,233,"Dim 436, Dim 585, Dim 646, Dim 119, Dim 545, Dim 389, Dim 181, Dim 592, Dim 134, Dim 18, Dim 368, Dim 755, Dim 698, Dim 482, Dim 120, Dim 155, Dim 584, Dim 142, Dim 750, Dim 451, Dim 701, Dim 576, Dim 673, Dim 496, Dim 332, Dim 681, Dim 691, Dim 510, Dim 257, Dim 163, Dim 92, Dim 605, Dim 258, Dim 747, Dim 754, Dim 333, Dim 199, Dim 160, Dim 529, Dim 523, Dim 531, Dim 48, Dim 623, Dim 114, Dim 602, Dim 513, Dim 209, Dim 377, Dim 438, Dim 340, Dim 629, Dim 75, Dim 705, Dim 516, Dim 765, Dim 122, Dim 421, Dim 335, Dim 760, Dim 632, Dim 680, Dim 225, Dim 285, Dim 762, Dim 310, Dim 123, Dim 281, Dim 733, Dim 392, Dim 566, Dim 455, Dim 667, Dim 559, Dim 149, Dim 453, Dim 364, Dim 644, Dim 474, Dim 349, Dim 243, Dim 27, Dim 184, Dim 544, Dim 467, Dim 49, Dim 235, Dim 153, Dim 714, Dim 206, Dim 234, Dim 106, Dim 77, Dim 495, Dim 688, Dim 485, Dim 603, Dim 753, Dim 249, Dim 72, Dim 507, Dim 214, Dim 276, Dim 572, Dim 213, Dim 633, Dim 635, Dim 682, Dim 683, Dim 148, Dim 406, Dim 16, Dim 408, Dim 278, Dim 290, Dim 555, Dim 0, Dim 729, Dim 748, Dim 740, Dim 423, Dim 137, Dim 479, Dim 654, Dim 248, Dim 593, Dim 475, Dim 195, Dim 594, Dim 631, Dim 739, Dim 329, Dim 758, Dim 177, Dim 628, Dim 121, Dim 35, Dim 66, Dim 416, Dim 269, Dim 427, Dim 94, Dim 385, Dim 260, Dim 220, Dim 695, Dim 641, Dim 256, Dim 145, Dim 399, Dim 546, Dim 587, Dim 287, Dim 719, Dim 125, Dim 173, Dim 128, Dim 175, Dim 84, Dim 169, Dim 536, Dim 642, Dim 493, Dim 356, Dim 299, Dim 461, Dim 210, Dim 306, Dim 47, Dim 468, Dim 90, Dim 383, Dim 656, Dim 98, Dim 238, Dim 105, Dim 541, Dim 492, Dim 508, Dim 643, Dim 89, Dim 8, Dim 374, Dim 494, Dim 188, Dim 157, Dim 313, Dim 264, Dim 56, Dim 410, Dim 690, Dim 634, Dim 78, Dim 116, Dim 487, Dim 150, Dim 174, Dim 618, Dim 720, Dim 215, Dim 661, Dim 207, Dim 191, Dim 166, Dim 614, Dim 91, Dim 230, Dim 517, Dim 660, Dim 222, Dim 702, Dim 432, Dim 715, Dim 730, Dim 732, Dim 575, Dim 282, Dim 217, Dim 386, Dim 262, Dim 170, Dim 563, Dim 532, Dim 204, Dim 300, Dim 328, Dim 375, Dim 608, Dim 357, Dim 630, Dim 129, Dim 270, Dim 549, Dim 379"
xlmr_r_large,10,11,"Dim 407, Dim 592, Dim 838, Dim 914, Dim 152, Dim 958, Dim 434, Dim 594, Dim 443, Dim 622, Dim 904"
xlmr_r_large,20,38,"Dim 347, Dim 297, Dim 407, Dim 802, Dim 592, Dim 914, Dim 861, Dim 359, Dim 624, Dim 1016, Dim 552, Dim 798, Dim 811, Dim 152, Dim 634, Dim 762, Dim 958, Dim 939, Dim 594, Dim 566, Dim 443, Dim 904, Dim 838, Dim 434, Dim 166, Dim 600, Dim 525, Dim 546, Dim 45, Dim 805, Dim 75, Dim 696, Dim 705, Dim 844, Dim 280, Dim 622, Dim 655, Dim 699"
